epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2305,3.78689,13.7535,3.57898,0.09715,0.13333,0.02826,0.0113,3.00532,5.87845,2.83927,0.0006,0.0006,0.0006
2,25.6272,3.37138,7.44767,3.14093,0.09229,0.11111,0.03596,0.01451,2.68203,4.20764,2.68688,0.00120792,0.00120792,0.00120792
3,38.7758,2.8357,3.9835,2.50142,0.48954,0.14928,0.16252,0.06054,2.67487,3.52917,2.57385,0.00180357,0.00180357,0.00180357
4,51.9344,2.66473,3.03351,2.27034,0.49812,0.13333,0.14047,0.05654,2.71127,3.59517,2.55974,0.0019406,0.0019406,0.0019406
5,64.246,2.49501,2.80097,2.0434,0.79345,0.14444,0.15061,0.05432,2.82789,3.68941,2.5457,0.0019208,0.0019208,0.0019208
6,76.7656,2.34194,2.45144,1.92447,0.37059,0.13333,0.1379,0.05829,2.67374,3.56127,2.3847,0.001901,0.001901,0.001901
7,89.6147,2.26661,2.29534,1.84668,0.65496,0.16667,0.19488,0.08047,2.56453,3.26675,2.35274,0.0018812,0.0018812,0.0018812
8,103.201,2.20767,2.20645,1.80469,0.65404,0.21111,0.24612,0.1026,2.51945,3.04086,2.33274,0.0018614,0.0018614,0.0018614
9,116.57,2.25909,2.32272,1.85244,0.6731,0.15556,0.16496,0.07769,2.57111,3.27664,2.42058,0.0018416,0.0018416,0.0018416
10,128.775,2.17,2.19068,1.79116,0.51118,0.13333,0.14112,0.06954,2.63517,3.35031,2.48065,0.0018218,0.0018218,0.0018218
11,141.638,2.09664,2.12571,1.74714,0.68361,0.16667,0.19086,0.08838,2.5119,3.03595,2.40649,0.001802,0.001802,0.001802
12,153.15,2.09332,2.08832,1.72887,0.52671,0.17778,0.17199,0.0849,2.50975,3.17928,2.39503,0.0017822,0.0017822,0.0017822
13,165.425,2.01918,1.9959,1.65912,0.36439,0.17778,0.16221,0.07519,2.55205,3.38686,2.44542,0.0017624,0.0017624,0.0017624
14,177.427,2.10358,2.05117,1.70193,0.57343,0.11111,0.13161,0.06361,2.57225,3.63115,2.47547,0.0017426,0.0017426,0.0017426
15,189.948,2.03225,1.95212,1.66665,0.254,0.16667,0.14988,0.06853,2.56421,3.46391,2.4274,0.0017228,0.0017228,0.0017228
16,202.367,2.03797,1.93979,1.64151,0.22323,0.2,0.14504,0.07229,2.51673,3.28861,2.40698,0.001703,0.001703,0.001703
17,214.656,2.08477,1.98769,1.6889,0.27064,0.18889,0.16305,0.07382,2.45391,3.24878,2.36025,0.0016832,0.0016832,0.0016832
