epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2481,3.56462,10.9912,3.31455,0.06445,0.14615,0.02256,0.00674,3.01438,4.61982,2.8735,0.000655556,0.000655556,0.000655556
2,54.8475,2.89627,4.15842,2.60446,0.48171,0.26923,0.26189,0.10754,2.50639,2.67558,2.35316,0.00130913,0.00130913,0.00130913
3,80.6538,2.44183,2.7743,2.09513,0.57107,0.35385,0.39921,0.18066,2.21566,2.24926,2.03507,0.00194951,0.00194951,0.00194951
4,106.076,2.32314,2.54983,2.00128,0.6832,0.46538,0.49484,0.23656,1.99532,1.8057,1.84878,0.0019406,0.0019406,0.0019406
5,132.553,2.19713,2.30308,1.85687,0.6861,0.50385,0.5186,0.25642,1.89852,1.85598,1.77046,0.0019208,0.0019208,0.0019208
6,158.746,2.16044,2.23901,1.82913,0.77729,0.53462,0.57189,0.30098,1.86469,1.79162,1.7318,0.001901,0.001901,0.001901
7,184.736,2.06417,2.14877,1.74805,0.81735,0.55,0.63442,0.31541,1.891,1.62331,1.71712,0.0018812,0.0018812,0.0018812
8,210.645,2.05963,2.07669,1.72088,0.86849,0.50769,0.59409,0.31292,1.83642,1.70309,1.71084,0.0018614,0.0018614,0.0018614
9,235.51,2.01433,2.00147,1.71451,0.76552,0.54615,0.61461,0.30176,1.92665,1.73582,1.76262,0.0018416,0.0018416,0.0018416
10,261.543,1.9967,1.93512,1.70459,0.80823,0.58356,0.65717,0.34222,1.84604,1.60231,1.70681,0.0018218,0.0018218,0.0018218
11,287.086,1.9472,1.91084,1.64963,0.83593,0.58077,0.67701,0.35741,1.85408,1.52395,1.68692,0.001802,0.001802,0.001802
12,314.067,1.96937,1.90537,1.6539,0.85599,0.60769,0.69654,0.36226,1.78599,1.52134,1.66765,0.0017822,0.0017822,0.0017822
13,340.482,1.91769,1.83067,1.63224,0.7983,0.60891,0.68721,0.35459,1.82206,1.52374,1.66778,0.0017624,0.0017624,0.0017624
14,364.79,1.88518,1.8361,1.61601,0.89936,0.58431,0.68858,0.36211,1.78552,1.48105,1.63233,0.0017426,0.0017426,0.0017426
15,390.539,1.9142,1.8046,1.60749,0.83871,0.6,0.69254,0.3541,1.84034,1.49664,1.67725,0.0017228,0.0017228,0.0017228
16,416.301,1.92492,1.79552,1.62772,0.87349,0.6,0.69365,0.366,1.8205,1.47166,1.66906,0.001703,0.001703,0.001703
17,441.807,1.8595,1.72738,1.59816,0.90687,0.6,0.72385,0.38386,1.8043,1.46038,1.64871,0.0016832,0.0016832,0.0016832
18,467.854,1.85843,1.7462,1.58824,0.88235,0.58077,0.69264,0.37772,1.84176,1.51081,1.67991,0.0016634,0.0016634,0.0016634
19,492.389,1.84521,1.71989,1.56688,0.85874,0.60793,0.71442,0.3696,1.84222,1.49446,1.68268,0.0016436,0.0016436,0.0016436
20,518.696,1.86442,1.66373,1.56655,0.80687,0.62669,0.70866,0.36584,1.80518,1.49259,1.68592,0.0016238,0.0016238,0.0016238
21,544.492,1.83892,1.68494,1.57615,0.87848,0.58846,0.69258,0.36132,1.79079,1.46846,1.68385,0.001604,0.001604,0.001604
22,570.702,1.88622,1.74336,1.58964,0.92259,0.59595,0.71945,0.38361,1.78276,1.41799,1.68225,0.0015842,0.0015842,0.0015842
23,594.724,1.83177,1.60698,1.56488,0.88385,0.58846,0.69614,0.36056,1.79709,1.52512,1.70382,0.0015644,0.0015644,0.0015644
24,619.489,1.85445,1.68143,1.5629,0.85003,0.58861,0.68459,0.36794,1.78726,1.55785,1.66194,0.0015446,0.0015446,0.0015446
25,645.019,1.80642,1.5994,1.54115,0.85855,0.6,0.71171,0.37429,1.77839,1.49283,1.65979,0.0015248,0.0015248,0.0015248
26,670.902,1.80621,1.58754,1.53609,0.87735,0.60385,0.72133,0.37969,1.79633,1.46553,1.65074,0.001505,0.001505,0.001505
27,695.305,1.76855,1.57191,1.53237,0.92041,0.56538,0.69975,0.37596,1.80209,1.5088,1.69461,0.0014852,0.0014852,0.0014852
28,719.549,1.77714,1.55296,1.53643,0.87242,0.65,0.74805,0.38918,1.78441,1.43564,1.68603,0.0014654,0.0014654,0.0014654
29,746.003,1.75301,1.5814,1.51847,0.89274,0.64027,0.74182,0.38675,1.76233,1.43444,1.68305,0.0014456,0.0014456,0.0014456
30,771.94,1.75432,1.5712,1.52065,0.85673,0.64397,0.72966,0.39368,1.77263,1.43121,1.66979,0.0014258,0.0014258,0.0014258
31,798.524,1.73027,1.534,1.50939,0.94864,0.63077,0.74857,0.39473,1.75248,1.37239,1.64915,0.001406,0.001406,0.001406
32,824.212,1.73969,1.52545,1.50311,0.88553,0.64615,0.73567,0.3923,1.7604,1.39141,1.68226,0.0013862,0.0013862,0.0013862
33,849.21,1.75579,1.56163,1.51342,0.91766,0.61923,0.74344,0.39844,1.7471,1.41904,1.6267,0.0013664,0.0013664,0.0013664
34,875.357,1.75489,1.56944,1.49367,0.91886,0.60979,0.73385,0.39412,1.75463,1.3958,1.63076,0.0013466,0.0013466,0.0013466
35,901.854,1.74183,1.55488,1.50374,0.90748,0.62308,0.73335,0.38871,1.73614,1.37717,1.62711,0.0013268,0.0013268,0.0013268
36,927.158,1.72817,1.54151,1.48881,0.88346,0.64146,0.74263,0.39212,1.73991,1.38982,1.62871,0.001307,0.001307,0.001307
37,952.564,1.74142,1.52379,1.50088,0.81877,0.66923,0.7265,0.39663,1.76983,1.41448,1.65717,0.0012872,0.0012872,0.0012872
