epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3931,2.3181,1.80085,1.51116,0.6898,0.35769,0.34732,0.17101,2.24944,3.71471,2.0889,0.0912308,0.000974359,0.000974359
2,58.6342,2.11956,1.57842,1.35156,0.6282,0.35769,0.38158,0.20047,2.16446,2.76317,1.95501,0.0822306,0.00197414,0.00197414
3,87.5287,2.04546,1.47521,1.30029,0.67209,0.38462,0.41458,0.21166,2.27553,2.41866,2.11616,0.0732295,0.00297305,0.00297305
4,117.323,2.02441,1.46027,1.29177,0.70564,0.39615,0.43316,0.21307,2.10366,2.56414,1.96756,0.0642268,0.00397044,0.00397044
5,147.723,1.99276,1.39164,1.27339,0.80047,0.55,0.58366,0.3061,1.91473,1.9644,1.88483,0.055222,0.00496564,0.00496564
6,176.893,1.96768,1.416,1.27808,0.85064,0.56538,0.62642,0.35319,1.7347,1.61324,1.70969,0.0462144,0.005958,0.005958
7,206.508,1.93499,1.34403,1.23708,0.8821,0.51154,0.59367,0.31792,1.90772,1.76431,1.76928,0.0372033,0.00694686,0.00694686
8,236.043,1.95984,1.34458,1.24129,0.87286,0.51923,0.61488,0.33552,1.77906,1.85463,1.71104,0.028188,0.00793159,0.00793159
9,264.57,1.96131,1.37915,1.25643,0.78222,0.48077,0.53254,0.25059,2.05029,2.4909,1.96522,0.0191679,0.00891152,0.00891152
10,293.192,1.95677,1.34374,1.25487,0.76473,0.49231,0.54041,0.28585,1.91785,2.12473,1.8843,0.0101424,0.00988602,0.00988602
11,320.897,1.91625,1.34319,1.24394,0.88883,0.5843,0.70776,0.38373,1.80925,1.59671,1.73982,0.00989074,0.00989074,0.00989074
12,349.583,1.93165,1.36178,1.24693,0.8468,0.48896,0.56211,0.30745,1.97482,1.85739,1.87212,0.0098679,0.0098679,0.0098679
13,378.092,1.92889,1.30832,1.23042,0.87041,0.49086,0.5822,0.30784,1.86584,1.78084,1.74595,0.00984292,0.00984292,0.00984292
14,406.514,1.88289,1.33145,1.23089,0.75089,0.57692,0.61238,0.31454,1.89674,1.69923,1.80717,0.00981581,0.00981581,0.00981581
15,434.768,1.88991,1.27582,1.20901,0.87036,0.44615,0.52596,0.27211,1.98774,1.85011,1.90165,0.0097866,0.0097866,0.0097866
