epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7735,3.7454,7.50382,2.93379,0.15777,0.11274,0.04686,0.01492,2.9695,3.4411,2.30507,0.000658009,0.000658009,0.000658009
2,76.8625,2.87373,2.73979,1.91039,0.33889,0.23233,0.16976,0.06322,2.36351,2.22414,1.72933,0.00131156,0.00131156,0.00131156
3,115.629,2.50805,2.10793,1.61904,0.40353,0.27001,0.22311,0.08757,2.13961,2.08997,1.568,0.00195191,0.00195191,0.00195191
4,154.283,2.37907,1.98634,1.5251,0.45254,0.30582,0.26589,0.10572,2.08272,1.72498,1.52911,0.0019406,0.0019406,0.0019406
5,191.08,2.28682,1.88583,1.48243,0.50396,0.32326,0.29802,0.12746,1.98992,1.73223,1.48335,0.0019208,0.0019208,0.0019208
6,230.168,2.2345,1.80762,1.44022,0.52793,0.33915,0.32792,0.14426,1.9597,1.5519,1.46008,0.001901,0.001901,0.001901
7,268.457,2.19819,1.76001,1.41125,0.57494,0.34121,0.33714,0.14282,1.92467,1.56668,1.428,0.0018812,0.0018812,0.0018812
8,305.203,2.13845,1.70346,1.37878,0.56143,0.34645,0.34982,0.15926,1.88447,1.54056,1.41128,0.0018614,0.0018614,0.0018614
9,343.428,2.16022,1.70282,1.37818,0.59096,0.36437,0.36858,0.16704,1.86057,1.44945,1.37415,0.0018416,0.0018416,0.0018416
10,380.225,2.07275,1.60607,1.33052,0.58568,0.37403,0.38022,0.17166,1.85267,1.45491,1.38394,0.0018218,0.0018218,0.0018218
11,418.03,2.09553,1.65008,1.352,0.61995,0.38303,0.39326,0.17514,1.8576,1.41625,1.38405,0.001802,0.001802,0.001802
12,457.604,2.06774,1.61396,1.33549,0.60805,0.38586,0.39405,0.1824,1.83548,1.37287,1.3758,0.0017822,0.0017822,0.0017822
13,494.207,2.05748,1.58511,1.31977,0.61781,0.39334,0.40409,0.18353,1.82513,1.3567,1.36967,0.0017624,0.0017624,0.0017624
14,532.253,2.00345,1.54534,1.29851,0.63678,0.39894,0.40317,0.18059,1.84595,1.33361,1.37343,0.0017426,0.0017426,0.0017426
15,568.239,1.99628,1.51911,1.28368,0.64462,0.40899,0.42227,0.19297,1.81453,1.32651,1.36445,0.0017228,0.0017228,0.0017228
16,606.573,2.03598,1.54011,1.2995,0.64175,0.40392,0.4144,0.19073,1.84306,1.3386,1.38079,0.001703,0.001703,0.001703
17,645.098,1.99258,1.51846,1.28809,0.6536,0.41015,0.42598,0.19556,1.8201,1.31382,1.36241,0.0016832,0.0016832,0.0016832
18,681.254,1.98478,1.48614,1.26908,0.65706,0.41638,0.43147,0.19877,1.79078,1.29845,1.33207,0.0016634,0.0016634,0.0016634
19,719.138,1.96338,1.46789,1.262,0.64654,0.42268,0.4343,0.20482,1.7726,1.30441,1.33493,0.0016436,0.0016436,0.0016436
20,756.29,1.92888,1.4688,1.25274,0.64231,0.4239,0.43171,0.19929,1.80152,1.31033,1.36594,0.0016238,0.0016238,0.0016238
21,794.712,1.95679,1.46928,1.26637,0.65518,0.42261,0.43562,0.20682,1.77314,1.28053,1.34324,0.001604,0.001604,0.001604
22,833.827,1.94256,1.45143,1.24378,0.64075,0.42826,0.43612,0.2028,1.76755,1.30012,1.33975,0.0015842,0.0015842,0.0015842
23,870.887,1.93008,1.44375,1.24351,0.65183,0.42154,0.44376,0.20952,1.75849,1.26363,1.33608,0.0015644,0.0015644,0.0015644
